alias	category	description	keywords
10037-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a modern house with a balcony, palm tree, and a small garden area.	dollhouse, house, balcony, palm tree, garden
10124-1.mpd	Technic	A detailed model of an early aircraft with a wooden framework and fabric wings.	aircraft, wooden framework, fabric wings, early model, airplane
10128-1.mpd	Technic	A model of a train station with a red and white tower, a platform, and a small train.	train station, red tower, platform, small train, model
10129-1.mpd	Technic	A detailed model of a spaceship with a futuristic design, featuring a main body, wings, and a cockpit.	spaceship, futuristic, model, main body, wings
10133-1.mpd	Trains	A model train with a green and yellow locomotive and a small figure standing next to it.	model train, locomotive, green, yellow, figure
10134-1.mpd	Technic	A detailed model of a spacecraft with a sleek, futuristic design.	spacecraft, futuristic, model, space, technology
10143-1.mpd	Technic	A detailed model of a futuristic structure with a dome-like top and a base with mechanical components.	futuristic, model, dome, mechanical, structure
10156-1.mpd	Vehicles	A yellow construction vehicle with a figure in a blue outfit standing next to it.	construction vehicle, yellow, figure, blue outfit, construction
10158-1.mpd	Vehicles	A LEGO train with a green and white color scheme, featuring a passenger car and a driver figure.	LEGO train, green and white, passenger car, driver figure, LEGO train model
10159-1.mpd	Vehicles	A model of a fire station with a helicopter, fire trucks, and other vehicles.	fire station, helicopter, fire trucks, vehicles, model
10170-1.mpd	Vehicles	A model train with a yellow locomotive and a blue cargo car.	train, locomotive, cargo car, model train, yellow
10174-1.mpd	Technic	A robot with a boxy head and mechanical limbs, standing next to a solar panel.	robot, mechan, solar panel, boxy head, mechan limbs
10175-1.mpd	Technic	A detailed model of a computer or electronic device with various components and fans.	computer, electronic device, components, fans, model
10176-1.mpd	Castle	A detailed castle model with multiple towers, flags, and a green base.	castle, fortress, towers, flags, base
10179-1.mpd	Technic	A detailed model of a spaceship with a futuristic design.	spaceship, futuristic, model, craft, vehicle
10182-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a quaint town street with a cafe, a bicycle, and a small shop.	dollhouse, town street, cafe, bicycle, shop
10183-1_3-axis-steam-locomotive.mpd	Trains	A detailed model of a 10183 - 9 - 3 axis steam locomotive.	steam locomotive, 10183, 9, 3 axis, model
10183-1_Caboose.mpd	Trains	A red and gray train car with a cabin and a roof, resembling a caboose.	red train, gray caboose, cabin, roof, train car
10183-1_Diesel-electric-American-locomotive-2.mpd	Trains	A red diesel-electric American locomotive 2 model.	locomotive, diesel-electric, American, model, red
10183-1_Diesel-electric-American-locomotive-3.mpd	Trains	A model of a diesel-electric American locomotive 3.	locomotive, diesel-electric, American, model, train
10183-1_Diesel-electric-American-locomotive.mpd	Trains	A red and black diesel-electric American locomotive.	locomotive, diesel-electric, American, red, black
10183-1_Diesel-electric-German-locomotive.mpd	Trains	A model of a diesel-electric German locomotive.	locomotive, German, diesel-electric, model, train
10183-1_Flatcar-with-container.mpd	Trains	A flatcar with a red container attached to it.	flatcar, container, red, train, cargo
10183-1_Flatcar-with-Truck.mpd	Vehicles	A red and gray flatcar with a truck attached, featuring a simple and functional design.	flatcar, truck, red, gray, cargo
10183-1_German-Standard-Electric-Locomotive-2.mpd	Trains	A detailed model of a German Standard Electric Locomotive 2, featuring red and gray colors.	German Standard Electric Locomotive, 2, red, gray, model
10183-1_German-Standard-Electric-Locomotive.mpd	Trains	A red and gray electric locomotive with a classic design.	electric locomotive, red, gray, locomotive, train
10183-1_Modern-urban-electric-locomotive.mpd	Trains	A modern urban electric locomotive with a sleek design.	electric locomotive, urban, modern, electric, locomotive
10183-1_Passenger-car.mpd	Trains	A red and gray passenger car with windows and a roof.	passenger car, red, gray, windows, roof
10183-1_Small-steam-locomotive.mpd	Trains	A small steam locomotive model with a black and red color scheme.	steam locomotive, black and red, small, model, locomotive
10183-1_Switcher-2.mpd	Trains	A model train with a red and black color scheme, featuring a switcher 2 design.	model train, switcher 2, red and black, train model, lego train
10183-1_Switcher.mpd	Vehicles	A red and gray train locomotive with a switcher model.	train, locomotive, switcher, red, gray
10183-1_Tank-car.mpd	Trains	A black steam locomotive with a cylindrical smokestack and red details.	steam locomotive, black, cylindrical smokestack, red details, locomotive
10183-1_Tram-2.mpd	Vehicles	A model of a tram with a red and grey color scheme.	tram, red, grey, model, transport
10183-1_Tram.mpd	Vehicles	A LEGO model of a red and gray tram with a roof and windows.	LEGO, tram, red, gray, model
10183-1.mpd	Trains	A LEGO model of a Swiss crocodile train, featuring a red and grey color scheme with a Swiss flag on the roof.	LEGO, train, Swiss crocodile, red, grey
10184-1.mpd	City / Town	A detailed model of a city scene with various buildings, vehicles, and people.	city, buildings, vehicles, people, model
10185-1.mpd	City / Town	A detailed dollhouse-style build of a multi-story building with various shops and a rooftop garden.	dollhouse, building, shops, rooftop garden, city
10190-1.mpd	City / Town	A detailed model of a building with a blue and white facade, featuring a balcony, a clock tower, and a small garden area.	building, blue and white, clock tower, balcony, garden
10194-1.mpd	Trains	A detailed model train with a green and silver locomotive and passenger cars.	model train, locomotive, passenger cars, green, silver
10197-1.mpd	City / Town	A fire station with a red and white building, a fire truck, and a firefighter.	fire station, fire truck, firefighter, red building, white building
10205-1.mpd	Trains	A model train with the number 317 on the side.	model train, number 317, locomotive, train model, lego train
10212-1.mpd	Technic	A detailed model of a space station or satellite with solar panels, docking bay, and control panels.	space station, satellite, solar panels, docking bay, control panels
10213-1.mpd	Technic	A model of a space shuttle on a launch pad with a rocket and astronauts nearby.	space shuttle, launch pad, rocket, astronauts, model
10214-1.mpd	Vehicles	A model of the Tower Bridge in London, featuring its iconic towers and suspension cables.	Tower Bridge, London, bridge, suspension bridge, landmark
10218-1.mpd	City / Town	A two-story building with a 'Pets' sign, a flag, and a small garden.	building, Pets, flag, garden, two-story
10220-1.mpd	City / Town	A red and white van with a roof rack, resembling a classic vehicle.	red van, white van, roof rack, classic vehicle, van
10224-1.mpd	City / Town	A detailed dollhouse-style building with a clock tower and shop windows.	dollhouse, building, clock tower, shop windows, city
10226-1.mpd	Technic	A model of a biplane with a wooden body and fabric wings.	biplane, wooden body, fabric wings, model, aircraft
10227-1.mpd	Technic	A detailed model of a spaceship with a yellow circular emblem on the side, featuring multiple weapons and a cockpit.	spaceship, model, yellow emblem, weapons, cockpit
10230-1.mpd	City / Town	A detailed model of a city street with various shops and buildings.	city, street, shops, buildings, model
10233-1.mpd	Trains	A model train set with a passenger car and a locomotive, featuring a yellow and gray color scheme.	model train, passenger car, locomotive, yellow, gray
10240-1.mpd	Technic	A model of a spaceship with a sleek design, featuring a red and white color scheme.	spaceship, model, red, white, technic
10241-1.mpd	Vehicles	A large container ship with multiple decks and rows of containers.	container ship, cargo ship, shipping, transportation, sea
10242-1.mpd	Technic	A green and white vintage car model with a detailed and realistic design.	vintage car, green and white, vintage vehicle, car model, vintage car model
10243-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a quaint European-style shop with a red awning and flower boxes.	dollhouse, shop, European, red awning, flower boxes
10246-1.mpd	City / Town	A detailed model of a small town with various shops and buildings.	town, shops, buildings, city, model
10248-1.mpd	Technic	A red sports car model with a sleek design and a prominent rear wing.	sports car, red, sleek, rear wing, model
10251-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a two-story building with a storefront and a sidewalk.	dollhouse, building, storefront, sidewalk, details
10252-1.mpd	Technic	A blue and yellow vehicle with a surfboard on top, featuring various mechanical details.	blue vehicle, yellow surfboard, mechanical details, vehicle with surfboard, technic model
10253-1.mpd	Architecture	A detailed model of the Big Ben clock tower in London, featuring intricate architectural details and a clock face.	Big Ben, clock tower, London, architecture, landmark
10256-1.mpd	Architecture	A detailed model of the Taj Mahal, a famous mausoleum in India.	Taj Mahal, India, mausoleum, famous landmark, architecture
10258-1.mpd	Vehicles	A red double-decker bus with a blue stripe on the side.	double-decker bus, red bus, blue stripe, city vehicle, public transportation
10261-1.mpd	Technic	A complex roller coaster model with multiple tracks, loops, and supports, featuring a large sign and various mechanical components.	roller coaster, complex, mechanical, tracks, sign
10262-1.mpd	Technic	A detailed model of a vehicle with a realistic mechanical design.	vehicle, mechan, realistic, model, technic
10264-1.mpd	City / Town	A detailed model of a city street scene with a building, a truck, and a person.	city street, building, truck, person, model
10265-1_B-Model.mpd	Technic	A detailed model of a classic car with a blue and white color scheme.	classic car, blue and white, model, technic, vehicle
10265-1.mpd	Technic	A detailed model of a 1967 Ford Mustang in blue and white color scheme.	1967 Ford Mustang, blue and white, car model, 10265, complete model
10267-1.mpd	Everyday Life / Interior	A detailed dollhouse-style gingerbread house with various decorations and accessories.	gingerbread house, dollhouse, christmas decorations, gingerbread decorations, house
10269-1.mpd	Technic	A detailed model of a motorcycle with a red and black color scheme.	motorcycle, red, black, model, technic
10270-1.mpd	City / Town	A detailed dollhouse-style build of a two-story building with a red roof and blue facade.	dollhouse, building, two-story, red roof, blue facade
10271-1.mpd	Technic	A yellow car model with a large hammer attached to its roof, suggesting a construction or repair theme.	yellow car, hammer, construction, repair, model
10272-1.mpd	Architecture	A detailed model of a stadium with a modern design, featuring a large seating area, a central field, and a roof structure.	stadium, modern design, seating area, central field, roof structure
10276-1.mpd	Architecture	A detailed model of the Colosseum in Rome, Italy.	Colosseum, Rome, Ancient Rome, Amphitheater, Landmark
10277-1.mpd	Trains	A detailed model of a locomotive with a crocodile design, complete with cargo cars and overhead electric lines.	crocodile locomotive, complete model, cargo cars, overhead lines, train model
10278-1.mpd	City / Town	A pixel art-style city scene with various shops and a street view.	city, shops, street, pixel art, urban
10280-1.mpd	Other	A collection of colorful flowers and leaves arranged in a decorative manner.	flowers, leaves, colorful, arrangement, decoration
10281-1_Cherry-Blossoms.mpd	Technic	A bonsai tree in a decorative pot, placed on a wooden stand with pebbles and rocks.	bonsai, tree, pot, stand, pebbles
10281-1.mpd	Technic	A bonsai tree in a rectangular pot, placed on a wooden stand.	bonsai tree, rectangular pot, wooden stand, bonsai, tree
10283-1.mpd	Technic	A detailed model of a space shuttle with a launch pad attached.	space shuttle, launch pad, model, technic, space
1029-1.mpd	Technic	A LEGO model of a vehicle with a white and blue color scheme, featuring a large cargo area and a blue hat on top.	LEGO, cargo vehicle, white, blue, hat
10294-1.mpd	Nautical / Submarine	A detailed model of the Titanic, showcasing its iconic design and features.	Titanic, ship, vintage, model, vessel
10295-1_911-Turbo.mpd	Technic	A detailed model of a Porsche 911 Turbo Complete, showcasing realistic mechanical functions and components.	Porsche 911 Turbo, Complete model, Technic, Car model, Realistic
10295-1.mpd	Technic	A detailed model of a Porsche 911 Targa Complete, showcasing realistic mechanical functions and components.	Porsche 911, Targa, Complete, Model, Technic
10297-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a building with various shops and a rooftop garden.	dollhouse, building, shops, rooftop garden, city
10298-1.mpd	Technic	A light blue scooter with a basket on the back, decorated with flowers and a small flag.	scooter, basket, flowers, flag, decorated
10315-1.mpd	Architecture	A detailed miniature model of a traditional Japanese temple with cherry blossom trees and stone lanterns.	temple, cherry blossom, stone lanterns, miniature, traditional
10359-1.mpd	Technic	A detailed model of a garden with a fountain, columns, and trees.	garden, fountain, columns, trees, model
106-1.mpd	City / Town	A LEGO police vehicle with a police officer standing next to it.	LEGO, police, vehicle, officer, city
1069-1.mpd	Vehicles	A LEGO boat with a character inside, featuring a red hair and yellow outfit.	LEGO, boat, character, red hair, yellow outfit
107-2.mpd	Technic	A LEGO model of a truck with a trailer, featuring a red cab and a grey trailer.	LEGO, truck, trailer, red, grey
10885-1.mpd	Technic	A collection of colorful, modular building blocks arranged in a structured formation.	building blocks, modular, structured, colorful, construction
10918-1.mpd	Technic	A detailed model of a construction vehicle with multiple cylindrical components and a crane arm.	construction vehicle, cylindrical components, crane arm, model, technic
1096-1.mpd	Vehicles	A LEGO Go-Kart with a driver wearing a helmet and a red shirt.	LEGO, Go-Kart, driver, helmet, red shirt
1097-1.mpd	Vehicles	A yellow and black toy jet ski with a helmet on top.	jet ski, toy, yellow, black, helmet
112-2.mpd	Technic	A model of a locomotive with a motor, featuring a blue and red design.	locomotive, motor, blue, red, model
1180-1.mpd	Technic	A model of a Moon Buggy with a character in a blue helmet and white suit, holding a radio.	Moon Buggy, character, blue helmet, white suit, radio
121-1.mpd	Vehicles	A LEGO model of a small vehicle with a yellow roof and red base, featuring a character standing next to it.	LEGO, vehicle, character, yellow roof, red base
1210-2_ALternate-model.mpd	Technic	A model of a building with a red pipe and blue cylindrical objects on top.	building, pipe, cylindrical, red, blue
1210-2.mpd	City / Town	A detailed model of a building with a red and blue facade, featuring a window and a door.	building, red facade, blue facade, window, door
1211-2_Alternate-model.mpd	City / Town	A detailed dollhouse-style build featuring a modern building with a red and blue facade, white windows, and a red door.	dollhouse, building, modern, red, blue
1211-2.mpd	City / Town	A small, detailed model of a building with a red and blue facade, featuring windows and a small entrance.	building, red facade, blue facade, windows, entrance
1212-2.mpd	Technic	A detailed model of a building with a red interior and a blue exterior, featuring a staircase and a window.	building, model, red interior, blue exterior, staircase
1213-2.mpd	City / Town	A detailed dollhouse-style build featuring a modern house with a red interior and white exterior.	dollhouse, house, red interior, white exterior, modern
126-1.mpd	Vehicles	A small model of a steam locomotive made from LEGO bricks.	LEGO, steam locomotive, model, construction, toy
1462-1.mpd	Technic	A model of a Galactic Scout from the Technic series.	Galactic Scout, Technic, model, space, mechan
1472-1.mpd	City / Town	A collection of miniature buildings and vehicles, including a fire station, a medical vehicle, and a boat, arranged in a playful manner.	fire station, medical vehicle, boat, miniature buildings, city town
1477-1.mpd	Technic	A red race car with the number 3 on the front, featuring a driver in a helmet and gloves, and equipped with a large front bumper and a roof-mounted camera.	red race car, number 3, driver, helmet, gloves
1478-1.mpd	Technic	A LEGO model of a Mobile Satellite Up-Link vehicle with a character holding a light saber.	LEGO, Mobile Satellite Up-Link, character, light saber, vehicle
1479-1.mpd	Technic	A model of a 2-Pilot Craft with a sleek, futuristic design.	2-Pilot Craft, futuristic, craft, model, technic
148-1.mpd	Technic	A model of a fire station with firefighters and equipment.	fire station, firefighters, equipment, model, technic
1484-1.mpd	Everyday Life / Interior	A miniature house with a red roof, a small garden, and a blue car parked outside.	miniature house, red roof, blue car, garden, miniature
1489-1.mpd	City / Town	A construction site with a crane, a red truck, and two workers.	construction site, crane, red truck, workers, construction
1490-1.mpd	City / Town	A fire station with a red building, a fire truck, firefighters, and a police car.	fire station, fire truck, firefighters, police car, city
1496-1.mpd	Vehicles	A LEGO model of a red and black vehicle with a flatbed and a red roof.	LEGO, vehicle, red, black, flatbed
1499-1.mpd	Technic	A model of a space station with a rocket launching from it.	space station, rocket, launch, model, space
1517-1.mpd	Technic	A model of a race car with a driver wearing a helmet and gloves, featuring realistic mechanical details.	race car, driver, helmet, gloves, mechanical details
1528-1.mpd	Technic	A LEGO model of a vehicle with a red and black color scheme, featuring a large 'V' on the front.	LEGO, vehicle, red, black, V
1557-1.mpd	Technic	A LEGO model of a space scooter with a red helmeted character riding it.	LEGO, space scooter, red helmet, character, model
1572-1.mpd	Technic	A LEGO model of a construction vehicle with a crane and a worker figure.	LEGO, construction vehicle, crane, worker, model
158-1.mpd	Vehicles	A model of a railway crossing gate with red and white barriers and blue supports.	railway crossing, gate, barriers, blue supports, red and white
1591-1.mpd	Technic	A model of a vehicle with a blue and white color scheme, featuring a gear on the front and a red light.	vehicle, model, gear, red light, blue and white
1620-1.mpd	Technic	A model of a construction worker operating a crane with a radio communication device.	construction worker, crane, radio communication, model, worker
1621-1.mpd	Technic	A detailed model of a Lunar MPV Vehicle, featuring realistic mechanical functions and components.	Lunar MPV Vehicle, model, realistic, mechan, components
1631-1.mpd	Technic	A black and yellow construction vehicle with large wheels and a crane.	construction vehicle, crane, black and yellow, large wheels, technic model
1632-1.mpd	Vehicles	A model of a boat with a red stripe and a yellow and gray structure on top.	boat, red stripe, yellow, gray, structure
1633-1.mpd	Technic	A yellow and red construction vehicle with a flatbed and tracks, resembling a bulldozer or a similar construction machinery.	construction vehicle, bulldozer, tracks, flatbed, yellow and red
164-1_Coach.mpd	Trains	A red train car with a grey roof and windows, featuring two LEGO figures standing next to it.	train car, red train, grey roof, LEGO figures, standing figures
164-1_Excursion-Car.mpd	Vehicles	A LEGO train car with a driver figure, red and grey in color.	LEGO train, driver figure, red train car, grey train car, LEGO train car
164-1.mpd	Trains	A small, red train car with a gray roof and a figure in a blue uniform standing next to it.	train car, red train, gray roof, figure, blue uniform
165-1.mpd	Technic	A model of a construction site with a crane, workers, and a building.	construction site, crane, workers, building, model
1656-1.mpd	City / Town	A LEGO set depicting a fire truck with an extended ladder, a firefighter, and a construction vehicle.	fire truck, firefighter, construction vehicle, LEGO, city
166-1.mpd	Vehicles	A LEGO train with a red and yellow engine, two red wheels, and a blue track.	LEGO train, red engine, yellow wheels, blue track, LEGO vehicle
167-1.mpd	Trains	A train with a yellow and red locomotive and passenger cars on a blue track.	train, locomotive, passenger cars, blue track, yellow and red
1680-1.mpd	Vehicles	A LEGO model of a horse-drawn carriage with two riders and a cart filled with various items.	LEGO, horse, carriage, cart, rider
1682-1.mpd	City / Town	A construction site with a crane, workers, and a truck.	construction site, crane, workers, truck, building
1702-1.mpd	Technic	A red and white Technic model of a vehicle with various mechanical components and a figure standing next to it.	Technic, vehicle, mechanical, red, white
1704-1.mpd	Technic	A model of a satellite plow with a blue and white color scheme, featuring a helmeted astronaut figure and a satellite dish.	satellite plow, ice planet, astronaut, satellite dish, model
17101-1_Frankie-the-Cat.mpd	Technic	A complex mechanical model featuring gears, axles, and a large structure with various components.	mechanical model, complex gears, axles, mechanical components, building set
17101-1_Vernie.mpd	Robots / Mecha	A humanoid robot with a blue and white color scheme, standing on a base with a small piece of the robot missing.	robot, mecha, blue, white, missing piece
1713-1.mpd	Pirates	A LEGO pirate figure sitting on a small platform with a pirate flag and a sword.	LEGO, pirate, flag, sword, platform
1714-1.mpd	Technic	A miniature vehicle with a red and yellow helmet, equipped with a radio and two cannons.	Surveillance Scooter, Helmet, Radio, Cannons, Miniature Vehicle
1731-1.mpd	Technic	A model of a vehicle with a futuristic design, featuring a blue and white color scheme and a large, black, cylindrical object attached to the back.	futuristic, vehicle, blue, white, cylindrical
1772-1.mpd	City / Town	A LEGO construction site with a red and white truck, a worker in a blue uniform, and various LEGO blocks and containers.	LEGO, construction site, truck, worker, LEGO blocks
1773-1.mpd	City / Town	A LEGO police vehicle with a police officer figure on top, a gun, and a siren.	LEGO, police vehicle, gun, siren, officer
1775-1.mpd	Technic	A LEGO model of an airplane with a control tower and two figures near it.	LEGO, airplane, control tower, figures, construction
1787-1.mpd	Technic	A blue and black model of a vehicle with large wheels and a futuristic design.	Crater Cruiser, model, futuristic, vehicle, construction
1789-1.mpd	Technic	A model of a Star Hawk II spaceship with a pilot figure next to it.	Star Hawk II, spaceship, pilot, model, technic
1792-1.mpd	Vehicles	A small LEGO boat with a red hull and white top, featuring a small flag and a small figure on the deck.	LEGO, boat, red, white, flag
1793-1.mpd	Technic	A detailed model of a space station with various vehicles and structures.	space station, Zenon, model, vehicles, construction
1808-1.mpd	Technic	A model of an aircraft with a red and white color scheme, featuring a small building-like structure on top.	aircraft, red and white, building-like structure, model, technic
1831-1.mpd	Vehicles	A LEGO model of a cargo truck with a trailer, featuring a driver figure standing next to it.	cargo truck, LEGO, driver, trailer, vehicle
1854-1.mpd	City / Town	A LEGO model of a small shop with a red roof and a striped umbrella, featuring a flagpole and some hanging items.	LEGO, shop, red roof, striped umbrella, flagpole
1869-1.mpd	Technic	A model of the South African flag constructed using LEGO bricks.	LEGO, South African flag, flag, construction, brick model
1875-1.mpd	Technic	A model of a Meteor Monitor with a black body, red and white details, and a yellow flag on its head.	Meteor Monitor, black body, red details, white details, yellow flag
1887-1.mpd	Technic	A model of a Scout Patrol Ship from the 1887 series.	Scout Patrol Ship, 1887, model, ship, technic
1896-1.mpd	Technic	A set of LEGO models featuring a helicopter, a crane, and other construction vehicles.	helicopter, crane, construction vehicles, LEGO, model
1916-1.mpd	Technic	A model of a Starion Patrol vehicle with a futuristic design, featuring a red and black color scheme.	Starion Patrol, futuristic, red, black, vehicle
1952-1.mpd	Vehicles	A LEGO model of a truck with a snowman on top, featuring a snowman figure and a green roof.	LEGO, truck, snowman, green roof, construction vehicle
1969-1.mpd	Robots / Mecha	A miniature robot with a red and gray color scheme, equipped with a camera and a grappling hook.	mini robot, red and gray, camera, grappling hook, space robot
1972-1.mpd	Technic	A model car with a red top and gray body, featuring large wheels and a simple design.	model car, red top, gray body, large wheels, simple design
1974-3.mpd	Vehicles	A LEGO model of a horse-drawn carriage with a rider holding a whip.	LEGO, horse, carriage, rider, whip
1974-4.mpd	Technic	A model spaceship with a futuristic design, featuring a cockpit, thrusters, and a red laser cannon.	spaceship, model, futuristic, cannon, thrusters
1991-1.mpd	Technic	A LEGO model of a vehicle with a red and blue color scheme, featuring a flag design on the side.	LEGO, vehicle, red, blue, flag
20004-1.mpd	Vehicles	A vintage green and gray vehicle with a cowboy hat on top, possibly a toy or model.	vintage vehicle, green and gray, cowboy hat, toy, model
20006-1.mpd	Technic	A model of a Clone Turbo Tank from the Star Wars universe.	Clone Turbo Tank, Star Wars, Clone, Tank, Model
20009-1.mpd	Technic	A detailed model of an AT-TE Walker from the Star Wars universe.	AT-TE Walker, Star Wars, mechan, vehicle, model
20011-1.mpd	Technic	A LEGO model of a construction vehicle with a green cargo container and yellow cab.	LEGO, construction vehicle, cargo container, yellow cab, green
20014-1.mpd	Technic	A model of a 4x4 vehicle with a yellow and black color scheme, featuring a robust build and large wheels.	4x4 vehicle, yellow and black, robust build, large wheels, model
20015-1.mpd	Technic	A model of a crocodile made from LEGO bricks.	LEGO, crocodile, model, technic, brick
20019-1.mpd	Technic	A complex mechanical model with various components and parts, including gears, axles, and a central structure.	mechanical model, complex assembly, gears and axles, central structure, technic
20021-1.mpd	Technic	A green and yellow model of a spaceship with two engines and a cockpit.	spaceship, model, green, yellow, engines
21000-1.mpd	Architecture	A detailed model of the Sears Tower, a famous skyscraper in Chicago.	Sears Tower, Chicago, skyscraper, famous building, model
21000-2.mpd	Architecture	A detailed model of the Willis Tower, a skyscraper in Chicago.	Willis Tower, Chicago, skyscraper, building, model
21001-1.mpd	Architecture	A detailed model of the John Hancock Center, a skyscraper in Chicago.	John Hancock Center, skyscraper, Chicago, building, architecture
21002-1.mpd	Architecture	A detailed model of the Empire State Building.	Empire State Building, New York City, Skyscraper, Famous Landmark, Architecture Model
21003-1.mpd	Architecture	A detailed model of the Seattle Space Needle, a famous landmark.	Seattle Space Needle, model, famous landmark, skyscraper, steel structure
21004-1.mpd	Architecture	A model of the Solomon R. Guggenheim Museum in New York City.	Solomon R. Guggenheim Museum, New York City, skyscraper, modern architecture, famous landmark
21005-1.mpd	Architecture	A detailed model of Falling Water, a famous architectural landmark.	Falling Water, architectural model, landscape, waterfall, landmark
21006-1.mpd	Architecture	A detailed model of the White House, a famous landmark in the United States.	White House, famous landmark, United States, architecture, model
21007-1.mpd	Architecture	A detailed model of the Rockefeller Center in New York City.	Rockefeller Center, New York City, Skyscrapers, Urban Architecture, Famous Landmark
21008-1.mpd	Architecture	A detailed model of the Burj Khalifa, a skyscraper in Dubai.	Burj Khalifa, Dubai, skyscraper, famous landmark, cityscape
21009-1.mpd	Architecture	A model of the Farnsworth House, a modernist architectural design.	Farnsworth House, modernist, architecture, skyscraper, design
21010-1.mpd	Architecture	A one-story building with a red roof and white walls, featuring a central entrance and a small balcony.	one-story building, red roof, white walls, central entrance, small balcony
21011-1.mpd	Architecture	A detailed model of the Brandenburg Gate, a famous landmark in Berlin.	Brandenburg Gate, Berlin, famous landmark, architecture, model
21012-1.mpd	Architecture	A detailed model of the Sydney Opera House, showcasing its iconic sail-like roofs and geometric design.	Sydney Opera House, famous landmark, architecture, sails, geometric design
21013-1.mpd	Architecture	A detailed model of the Big Ben clock tower, featuring its iconic clock faces and architectural details.	Big Ben, clock tower, famous landmark, city, landmark
21014-1.mpd	Architecture	A LEGO model of Villa Savoye, a modernist building.	Villa Savoye, LEGO, modern architecture, famous building, skyscraper
21015-1.mpd	Architecture	A detailed model of the Leaning Tower of Pisa, a famous landmark in Italy.	Leaning Tower of Pisa, Italy, famous landmark, architecture, model
21016-1.mpd	Architecture	A LEGO model of the Sungnyemun, a traditional Korean gate.	Sungnyemun, Korean gate, LEGO model, traditional architecture, building
21017-1.mpd	Architecture	A detailed model of the Imperial Hotel, featuring its iconic architecture and design.	Imperial Hotel, architecture, building, famous landmark, skyscraper
21018-1.mpd	Architecture	A detailed model of the United Nations Headquarters, featuring a tall building with multiple floors and a green roof.	United Nations Headquarters, model, building, architecture, skyscraper
21019-1.mpd	Architecture	A detailed model of the Eiffel Tower, a famous landmark in Paris.	Eiffel Tower, Paris, landmark, famous, model
21020-1.mpd	Architecture	Isometric model of the Trevi Fountain in Rome, Italy.	Trevi Fountain, Rome, Italy, Isometric, Fountain
21021-1.mpd	Architecture	A detailed model of the Marina Bay Sands hotel in Singapore.	Marina Bay Sands, Singapore, hotel, skyscraper, famous landmark
21022-1.mpd	Architecture	A detailed model of the Lincoln Memorial in Washington D.C.	Lincoln Memorial, Washington D.C., monument, architecture, landmark
21023-1.mpd	Architecture	A detailed model of the Flatiron Building, a famous skyscraper in New York City.	Flatiron Building, New York City, skyscraper, famous landmark, city architecture
21024-1.mpd	Architecture	A detailed model of the Louvre Museum in Paris, France.	Louvre, Paris, Museum, France, Architecture
21026-1.mpd	Architecture	A detailed model of the Venice skyline, featuring the iconic St. Mark's Basilica and the Campanile.	Venice, Basilica, Campanile, Cityscape, Architecture
